name,feature_values
is_directed,True
num_of_nodes,4106           
num_of_edges,10515          
average_degree,5.12           
average_path_length,4044.685       
diameter,10418.409000000003
diameter_source_target,1338124017-1791823350
diameter_path,1338124017-1424126950-1424126964-1424126962-1424126976-6829314495-1424126977-6829268417-2035771082-671901806-2035771056-2035771048-997432361-997432356-997432354-1442706849-997432349-1442706873-997432388-997436552-190161346-1428457698-2655127292-997436539-997436540-997436541-676197975-907499700-1442706964-1442707008-1442707124-912045478-540043508-912045443-190138057-540037143-190138041-540031679-988459796-1009660040-534230574-534230563-3867204276-3867202517-1009659473-1009659765-1009659777-1009659847-1009659701-4249577134-6559075085-6559075087-4249577133-6559053664-1009659703-2789788766-2479726430-4249578844-4249578846-313737379-6562032591-1441193961-534224932-313737381-1441194009-6565749168-1863913389-1441194047-1441194051-2883578312-1441194068-1441194086-3007844875-1441194094-1442707438-2883578314-1054498607-3007844881-1442707453-313737393-2599825970-313737398-727275991-528304191-676155849-528304184-1422163692-890450126-1422163899-1422163915-676165996-1422163977-6945321187-4333555787-1422164045-1422164062-2479811223-1422164092-5476804481-1965025767-1422164171-1791823205-5274587120-1791823367-1791823377-1791823417-1964965658-1964965614-5274587625-1422164226-1791823350
density,0.000624
average_cluster_coefficient,0.00188
